#,Nome do Produto,SKU,Categoria,Prioridade,Repostável,Status Post,Link do Produto,Link da Imagem,Legenda Instagram,Observações,Ordem de Postagem
24273,Chapéu Fedora Justin San Doná Preto Verão,046.03.06.022,Chapéu,Normal,Não,Não Postado,,,,,157
24011,Chapéu Rock Samba Sibu Company Marrom,032.10.82.16,Chapéu,Normal,Não,Não Postado,,,,,158
24207,Chapéu Coco Chaplin San Doná Preto,140.00.06,Chapéu,Normal,Não,Não Postado,,,,,159
24202,Cartola Inglesa San Doná,139.00.00,Cartola,Normal,Não,Não Postado,,,,,160
24191,Chapéu Country Glam Lã Gelo com Strass,346.20.93.16,Chapéu,Normal,Não,Não Postado,,,,,161
24181,Chapéu Rock Sport Sibu Company Gelo,067.11.99.16.023,Chapéu,Normal,Não,Não Postado,,,,,162
24170,Chapéu Country Sibu Company Gelo Aba Canoada,046.20.99.16.023,Chapéu,Normal,Não,Não Postado,,,,,163
24160,Chapéu Country Star by Manu Freitas Marrom,147.11.92.07,Chapéu,Normal,Não,Não Postado,,,,,164
24150,Chapéu Country Star by Manu Freitas Castor,147.11.91.07,Chapéu,Normal,Não,Não Postado,,,,,165
24140,Chapéu Country Star by Manu Freitas Preto,147.11.90.06,Chapéu,Normal,Não,Não Postado,,,,,166
20646,Chapéu Country aba Formada Us Agroboy Castor,146.20.91.16-Us-Agroboys,Chapéu,Normal,Não,Não Postado,,,,,167
20655,Chapéu Country aba Formada Us Agroboy Preto,146.20.90.16-Us-Agroboys,Chapéu,Normal,Não,Não Postado,,,,,168
20664,Chapéu Country aba Formada Us Agroboy Marrom,146.20.92.16-Us-Agroboys,Chapéu,Normal,Não,Não Postado,,,,,169
24125,Chapéu Campeiro Consagrado Gravado Marrom,485.00.92.99,Chapéu,Normal,Não,Não Postado,,,,,170
24116,Chapéu Campeiro Consagrado Gravado Castor,485.00.91.99,Chapéu,Normal,Não,Não Postado,,,,,171
24107,Chapéu Campeiro Consagrado Gravado Preto,485.00.90.99,Chapéu,Normal,Não,Não Postado,,,,,172
24097,Chapéu Rock Sport Consagrado Strass Marrom,367.16.82.99,Chapéu,Normal,Não,Não Postado,,,,,173
